"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PIM2.3",2.15085178702602e-76,-0.673305967103887,0.362,0.506,4.30170357405205e-73,"4","PIM2"
"TSC22D3.4",1.58072550204863e-75,-0.430411569660293,0.789,0.88,3.16145100409726e-72,"4","TSC22D3"
"GK.4",1.74568349016693e-75,-1.90955230885818,0.034,0.115,3.49136698033385e-72,"4","GK"
"ADGRE5.4",3.70367634116976e-75,0.492319511570082,0.634,0.593,7.40735268233953e-72,"4","ADGRE5"
"KLRK1.4",4.25895849219547e-75,1.12841820814267,0.189,0.113,8.51791698439095e-72,"4","KLRK1"
"YBX3.2",2.74960736137121e-74,1.49831586370258,0.125,0.063,5.49921472274242e-71,"4","YBX3"
"TMEM167A.3",4.88468816218414e-74,-0.60721569406159,0.211,0.353,9.76937632436827e-71,"4","TMEM167A"
"PDLIM7.3",1.28099382695946e-73,-1.29103550326428,0.039,0.124,2.56198765391891e-70,"4","PDLIM7"
"CD84.2",2.8056974916134e-73,0.966443596652097,0.257,0.175,5.61139498322681e-70,"4","CD84"
"IKZF3.3",3.85107785078112e-73,0.54391030436987,0.506,0.434,7.70215570156223e-70,"4","IKZF3"
"ARL4A.3",4.42009934052458e-73,-0.700389496555144,0.177,0.304,8.84019868104916e-70,"4","ARL4A"
"PRNP.4",1.42381666410867e-72,-0.545288087516071,0.195,0.333,2.84763332821734e-69,"4","PRNP"
"AC020916.1.3",4.64871600456332e-72,-0.50852077494388,0.336,0.482,9.29743200912663e-69,"4","AC020916.1"
"UBASH3B.3",3.80088179586109e-71,-1.05077772279263,0.064,0.157,7.60176359172219e-68,"4","UBASH3B"
"PLPP1.4",1.98723525611017e-70,-1.43453593953476,0.055,0.143,3.97447051222034e-67,"4","PLPP1"
"GPR15.3",1.63074620822509e-68,-0.532067182276734,0.165,0.29,3.26149241645019e-65,"4","GPR15"
"CDKN1A.3",5.6382189189457e-68,-0.981225866614328,0.112,0.216,1.12764378378914e-64,"4","CDKN1A"
"ZNRF1.4",1.31098574980185e-67,-1.36651220403632,0.038,0.116,2.6219714996037e-64,"4","ZNRF1"
"GPR65.3",6.10904560669869e-67,-0.557145370772434,0.302,0.445,1.22180912133974e-63,"4","GPR65"
"ANXA2.3",8.59584844657122e-67,0.472800980674016,0.566,0.501,1.71916968931424e-63,"4","ANXA2"
"CALM2.3",1.54723398620818e-66,0.244784910924468,0.87,0.861,3.09446797241637e-63,"4","CALM2"
"CLECL1.3",3.78883135182853e-65,-1.17165936962331,0.044,0.124,7.57766270365706e-62,"4","CLECL1"
"CXCR5",4.55232562840557e-65,1.0519155685702,0.111,0.055,9.10465125681114e-62,"4","CXCR5"
"IL6ST.4",1.36389164796343e-64,-0.856478873208964,0.134,0.242,2.72778329592686e-61,"4","IL6ST"
"LSM5.1",5.49779582117441e-64,-0.43652371887386,0.267,0.414,1.09955916423488e-60,"4","LSM5"
"C3AR1.3",7.41080511082209e-64,-1.25209241260449,0.046,0.125,1.48216102216442e-60,"4","C3AR1"
"ITGAE.4",9.18621534023978e-64,-0.612449047417665,0.307,0.433,1.83724306804796e-60,"4","ITGAE"
"XCL1.3",4.66930367023834e-63,0.534338161829656,0.247,0.16,9.33860734047667e-60,"4","XCL1"
"APOBEC3C.3",1.03194193684926e-62,0.806912116150326,0.38,0.32,2.06388387369851e-59,"4","APOBEC3C"
"HIC1.4",1.52171594571884e-62,-0.930218131848556,0.067,0.155,3.04343189143768e-59,"4","HIC1"
"EVI2A.3",5.28573525099825e-62,-0.45443265616256,0.304,0.453,1.05714705019965e-58,"4","EVI2A"
"PLAC8.4",5.40798930752319e-62,-0.544508096054986,0.112,0.214,1.08159786150464e-58,"4","PLAC8"
"SHMT2.3",2.63725342154576e-61,-0.571435879003944,0.152,0.268,5.27450684309151e-58,"4","SHMT2"
"SLC12A6.3",6.53735786131844e-61,-1.19305698906573,0.045,0.121,1.30747157226369e-57,"4","SLC12A6"
"SLC2A3.3",7.1072420810077e-61,-0.427273104336574,0.697,0.813,1.42144841620154e-57,"4","SLC2A3"
"YPEL5.4",1.123959238499e-60,-0.430784952568736,0.55,0.687,2.24791847699801e-57,"4","YPEL5"
"STAM.3",1.41943189430975e-60,-0.8787678653724,0.075,0.163,2.8388637886195e-57,"4","STAM"
"ZNF683.4",6.32690825587556e-60,-1.15092033080577,0.049,0.126,1.26538165117511e-56,"4","ZNF683"
"HIST1H4C.3",1.59536777557099e-59,-0.653950050005689,0.612,0.741,3.19073555114199e-56,"4","HIST1H4C"
"MYL6B.4",5.58967175887855e-59,-1.0265053610999,0.044,0.119,1.11793435177571e-55,"4","MYL6B"
"FOSL2.4",9.81226785892961e-59,-0.641830057424617,0.145,0.252,1.96245357178592e-55,"4","FOSL2"
"TNF.3",6.09830847533395e-58,0.518564465146855,0.34,0.257,1.21966169506679e-54,"4","TNF"
"EGR1.4",6.32156563602858e-58,-0.943178719275762,0.194,0.299,1.26431312720572e-54,"4","EGR1"
"CD151.3",2.02844455595015e-57,-0.61147447544222,0.116,0.218,4.05688911190031e-54,"4","CD151"
"PHF19.3",3.21476290953508e-57,-0.812881772235535,0.068,0.151,6.42952581907015e-54,"4","PHF19"
"IMPDH2.1",1.10898986219981e-56,-0.50076084904897,0.189,0.309,2.21797972439963e-53,"4","IMPDH2"
"TOX2.4",2.01653785966728e-56,-1.49181494449538,0.051,0.124,4.03307571933455e-53,"4","TOX2"
"MID1IP1.4",1.71754120695122e-55,-0.747282720369227,0.095,0.186,3.43508241390244e-52,"4","MID1IP1"
"SLC16A3.3",4.87318527343217e-55,-0.705249038342583,0.1,0.193,9.74637054686433e-52,"4","SLC16A3"
"H1FX.2",5.14849102703374e-55,-0.418816561054964,0.264,0.396,1.02969820540675e-51,"4","H1FX"
