,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PSME1,0,0.414643676,0.896,0.799,0,0,PSME1
MYL12B,0,0.349646935,0.886,0.789,0,0,MYL12B
PPP2R2B,0,0.992995701,0.205,0.111,0,0,PPP2R2B
TNFRSF25,0,-1.148662009,0.116,0.209,0,0,TNFRSF25
CAPZB,0,0.338718232,0.752,0.659,0,0,CAPZB
LSP1,0,0.302173162,0.877,0.784,0,0,LSP1
LAT2,0,-2.823302245,0.019,0.11,0,0,LAT2
TRDC,0,-2.28080916,0.026,0.116,0,0,TRDC
TNFSF13B,0,-2.251901346,0.034,0.124,0,0,TNFSF13B
LCK,0,0.282110014,0.847,0.757,0,0,LCK
FYB1,0,0.278616699,0.833,0.743,0,0,FYB1
ARPC3,0,0.327188929,0.872,0.782,0,0,ARPC3
SUB1,0,0.318336666,0.814,0.725,0,0,SUB1
IL6R,0,-3.453515822,0.012,0.1,0,0,IL6R
CCR7,0,-1.877076268,0.055,0.141,0,0,CCR7
KLRK1,0,1.2772986,0.142,0.057,0,0,KLRK1
SPINT2,0,-1.718963936,0.05,0.134,0,0,SPINT2
TXK,0,-1.658408861,0.061,0.144,0,0,TXK
IKZF2,0,-1.668196652,0.044,0.124,0,0,IKZF2
CD3D,0,0.342113994,0.952,0.872,0,0,CD3D
LAPTM5,0,0.223763616,0.891,0.812,0,0,LAPTM5
CYBA,0,0.385610403,0.884,0.807,0,0,CYBA
JAKMIP1,0,1.089506471,0.156,0.082,0,0,JAKMIP1
RAC2,0,0.308201668,0.941,0.871,0,0,RAC2
EVL,0,0.275014147,0.907,0.838,0,0,EVL
MYL12A,0,0.315850359,0.958,0.89,0,0,MYL12A
CCL3L1,0,1.239017432,0.115,0.048,0,0,CCL3L1
DTHD1,0,1.647817358,0.101,0.035,0,0,DTHD1
CORO1A,0,0.325617822,0.938,0.873,0,0,CORO1A
PTPRC,0,0.214290531,0.915,0.853,0,0,PTPRC
ARHGDIB,0,0.212918949,0.958,0.9,0,0,ARHGDIB
CD3E,0,0.314296634,0.978,0.922,0,0,CD3E
CFL1,0,0.264856773,0.968,0.914,0,0,CFL1
CD52,0,0.466827999,0.952,0.899,0,0,CD52
HLA-E,0,0.239364575,0.95,0.898,0,0,HLA-E
