"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AP3M2.8",5.75837008596865e-11,-1.57632958338189,0.086,0.171,1.15167401719373e-07,"9","AP3M2"
"ILF2.7",6.43461787357682e-11,-0.593100119472296,0.47,0.51,1.28692357471536e-07,"9","ILF2"
"UBE2F.6",6.95717853796154e-11,0.301698058808336,0.19,0.108,1.39143570759231e-07,"9","UBE2F"
"CHMP1B.5",9.00613247883526e-11,1.03069670097462,0.404,0.298,1.80122649576705e-07,"9","CHMP1B"
"KLF10.6",1.11008467635042e-10,0.372777650845483,0.267,0.166,2.22016935270085e-07,"9","KLF10"
"DUSP1.7",1.27658606960093e-10,-0.370356312835675,0.892,0.952,2.55317213920186e-07,"9","DUSP1"
"MT-CO2.6",2.09349077808948e-10,0.249001398392608,0.989,1,4.18698155617895e-07,"9","MT-CO2"
"CKAP2.8",2.17712051290848e-10,-1.47504426028744,0.123,0.205,4.35424102581696e-07,"9","CKAP2"
"NUDT21.7",2.25779294917462e-10,-0.873064363047257,0.324,0.38,4.51558589834924e-07,"9","NUDT21"
"MAD2L1.8",2.41233112349796e-10,-2.42446754413819,0.038,0.107,4.82466224699591e-07,"9","MAD2L1"
"IL4I1.2",2.46422581783389e-10,1.01548490742646,0.135,0.073,4.92845163566779e-07,"9","IL4I1"
"H2AFY.6",2.56752441090195e-10,0.398932751890577,0.555,0.427,5.13504882180389e-07,"9","H2AFY"
"CCR5.7",3.37789396195044e-10,-1.43006612550753,0.089,0.168,6.75578792390089e-07,"9","CCR5"
"GABARAPL1.7",3.70558458635872e-10,-1.23105567972666,0.17,0.252,7.41116917271745e-07,"9","GABARAPL1"
"ERN1.8",4.00593136138893e-10,-1.20180278391192,0.231,0.308,8.01186272277786e-07,"9","ERN1"
"GK.8",4.2229532892136e-10,0.488286113248362,0.182,0.109,8.44590657842719e-07,"9","GK"
"JAML.7",4.68210715291086e-10,0.757995942728191,0.476,0.405,9.36421430582172e-07,"9","JAML"
"IL21R.9",5.08838965181963e-10,-1.41917853986683,0.11,0.191,1.01767793036393e-06,"9","IL21R"
"HAVCR2.7",5.23193090906728e-10,0.262817460310782,0.218,0.134,1.04638618181346e-06,"9","HAVCR2"
"ZNF683.9",5.26378143056173e-10,-1.25083752499659,0.048,0.121,1.05275628611235e-06,"9","ZNF683"
"GPR82.3",5.47416768547937e-10,0.880334398766175,0.124,0.067,1.09483353709587e-06,"9","GPR82"
"HIST1H2AC.7",5.50616326973348e-10,0.399630925802034,0.186,0.109,1.1012326539467e-06,"9","HIST1H2AC"
"DBF4.7",5.51392624677852e-10,-1.40239177572294,0.12,0.199,1.1027852493557e-06,"9","DBF4"
"FOSL2.7",5.52499865012402e-10,-1.20949382918907,0.165,0.246,1.1049997300248e-06,"9","FOSL2"
"ITM2C.8",6.97992113708126e-10,0.57712137237315,0.534,0.427,1.39598422741625e-06,"9","ITM2C"
"YES1.7",7.01820338267741e-10,-1.72420465401019,0.066,0.14,1.40364067653548e-06,"9","YES1"
"DUSP5.7",8.55161847569069e-10,-1.01635293014349,0.236,0.316,1.71032369513814e-06,"9","DUSP5"
"SMS.9",1.24269481014746e-09,0.450402026639936,0.396,0.278,2.48538962029493e-06,"9","SMS"
"FKBP5.7",1.28908457474187e-09,-1.13069487830453,0.218,0.294,2.57816914948374e-06,"9","FKBP5"
"LTA.7",1.36067787268177e-09,-1.50268334346595,0.052,0.124,2.72135574536354e-06,"9","LTA"
"RASGRP2.6",2.46834624093329e-09,-0.856927553694455,0.161,0.249,4.93669248186658e-06,"9","RASGRP2"
"DAPK2.9",2.74475766999246e-09,-1.3729191684978,0.058,0.129,5.48951533998492e-06,"9","DAPK2"
"TPI1.6",2.75608954181322e-09,-0.253505689327215,0.785,0.827,5.51217908362643e-06,"9","TPI1"
"DNAAF2.6",2.88193511493246e-09,-1.16210384486026,0.18,0.253,5.76387022986492e-06,"9","DNAAF2"
"SPINK2.8",2.96628395600008e-09,-1.46066564068616,0.042,0.108,5.93256791200017e-06,"9","SPINK2"
"MIR4435-2HG.9",3.13776094734767e-09,-1.09500904321214,0.259,0.324,6.27552189469534e-06,"9","MIR4435-2HG"
"HSP90AA1.6",3.14594129296546e-09,0.247261316780966,0.956,0.96,6.29188258593092e-06,"9","HSP90AA1"
