"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RNF168.7",7.45896372894409e-18,0.400486421676401,0.156,0.118,2.27431263059234e-13,"13","RNF168"
"ATG101.8",7.64440451240228e-18,0.341247133415494,0.176,0.135,2.33085537987658e-13,"13","ATG101"
"DDX50.4",8.18246591546781e-18,0.262773269013434,0.22,0.174,2.49491568228529e-13,"13","DDX50"
"HLA-DRA.11",8.57013496692952e-18,-0.788768683196487,0.112,0.152,2.61311985276648e-13,"13","HLA-DRA"
"PSMB1.8",8.69119561111724e-18,0.161735620970934,0.521,0.46,2.65003245378576e-13,"13","PSMB1"
"PPP2R1A.8",8.8257527125867e-18,0.198258717446559,0.376,0.32,2.69106025959481e-13,"13","PPP2R1A"
"BSDC1.7",8.87315271549247e-18,0.370223967510238,0.163,0.124,2.70551299448081e-13,"13","BSDC1"
"ZBTB2.2",8.93985621455193e-18,0.501721316849507,0.102,0.071,2.72585155837903e-13,"13","ZBTB2"
"SLC38A10.3",9.09225330424227e-18,0.356036138330397,0.17,0.13,2.77231895499651e-13,"13","SLC38A10"
"PLEKHA3.3",9.42522183208455e-18,0.458732180709505,0.126,0.091,2.8738443888209e-13,"13","PLEKHA3"
"ETHE1.9",9.7132032842091e-18,0.319237322559005,0.249,0.203,2.9616528133882e-13,"13","ETHE1"
"OPTN.11",9.95918148068715e-18,0.196930740750416,0.334,0.279,3.03665402527632e-13,"13","OPTN"
"SFPQ.6",1.04298366173492e-17,0.1955526138114,0.503,0.445,3.18016148299594e-13,"13","SFPQ"
"UBE2K.8",1.11619673049631e-17,0.3395291271061,0.204,0.161,3.40339545095631e-13,"13","UBE2K"
"PTPMT1.5",1.14274824756579e-17,0.37499773978691,0.149,0.112,3.48435368165284e-13,"13","PTPMT1"
"ATP1B3.11",1.147486173754e-17,0.271207690038603,0.245,0.197,3.49880009239333e-13,"13","ATP1B3"
"TMEM259.7",1.14796934390719e-17,0.240015457865887,0.219,0.174,3.50027332650741e-13,"13","TMEM259"
"UBA1.9",1.16317455920083e-17,0.301908566344365,0.199,0.156,3.54663554845925e-13,"13","UBA1"
"USP34.6",1.21031909347273e-17,0.263769068422678,0.222,0.175,3.6903839479077e-13,"13","USP34"
"PRKCQ.9",1.22421298572139e-17,0.309521943221084,0.204,0.16,3.73274781476308e-13,"13","PRKCQ"
"ACADVL.7",1.23227301207884e-17,0.244879448208614,0.272,0.222,3.75732364112959e-13,"13","ACADVL"
"CAB39.9",1.38193694235626e-17,0.332029768084815,0.159,0.121,4.21366393093849e-13,"13","CAB39"
"ORMDL2.5",1.38989010400337e-17,0.342890530691544,0.225,0.181,4.23791391611668e-13,"13","ORMDL2"
"ZNF101.4",1.44065452226564e-17,0.465078958599784,0.119,0.085,4.39269970384016e-13,"13","ZNF101"
"DENR.5",1.48420968873582e-17,0.235658750359722,0.256,0.207,4.52550376192439e-13,"13","DENR"
"ARPP19.8",1.5597218571252e-17,0.288178175055139,0.239,0.193,4.75574791456046e-13,"13","ARPP19"
"ANKRD44.5",1.56645733479726e-17,0.192704102433044,0.4,0.344,4.77628505953031e-13,"13","ANKRD44"
"KDM2A.6",1.74733145440177e-17,0.322288978058425,0.2,0.157,5.32778833761643e-13,"13","KDM2A"
